cluster_a,cluster_b,label_a,label_b,model_key,model_label,term_a,term_b,confidence,reasoning,n_alignable,barrier_assessment
2,4,polyethylene terephthalate pet,compressive strength,claude_haiku,Claude Haiku,activation energy,compressive strength,1,Activation energy describes thermodynamic barriers to chemical reactions; compressive strength measures mechanical resistance. Both are performance metrics but operate in entirely different physical domains.,1,"The vocabulary barrier is severe and nearly insurmountable: Cluster A focuses on chemical decomposition and fuel production from PET waste, while Cluster B addresses structural material properties of concrete composites; these represent fundamentally different recycling pathways (chemical vs. material reuse) with minimal conceptual intersection."
2,4,polyethylene terephthalate pet,compressive strength,claude_haiku,Claude Haiku,calorific value,tensile strength,1,Calorific value measures energy content; tensile strength measures mechanical resistance. Both are material performance indicators but address fundamentally different material functions (energy vs. structural).,1,"The vocabulary barrier is severe and nearly insurmountable: Cluster A focuses on chemical decomposition and fuel production from PET waste, while Cluster B addresses structural material properties of concrete composites; these represent fundamentally different recycling pathways (chemical vs. material reuse) with minimal conceptual intersection."
2,4,polyethylene terephthalate pet,compressive strength,claude_haiku,Claude Haiku,liquid fuel,reinforced concrete,1,Liquid fuel is a pyrolysis product/end-use; reinforced concrete is a composite material. Both represent processed/engineered materials but serve entirely different applications with no conceptual overlap.,1,"The vocabulary barrier is severe and nearly insurmountable: Cluster A focuses on chemical decomposition and fuel production from PET waste, while Cluster B addresses structural material properties of concrete composites; these represent fundamentally different recycling pathways (chemical vs. material reuse) with minimal conceptual intersection."
2,4,polyethylene terephthalate pet,compressive strength,llama_70b,Llama-3.1-70B,molecular weight,mechanical properties,2,"Molecular weight affects the mechanical properties of materials, although the terms are not direct equivalents.",10,"The vocabulary barrier between these clusters is moderate, with some terms having loose or indirect relationships, but no exact equivalents or near-synonyms were found."
2,4,polyethylene terephthalate pet,compressive strength,llama_70b,Llama-3.1-70B,activation energy,compressive strength,2,"Activation energy relates to the energy required for chemical reactions, which can influence the compressive strength of materials, but the terms are not directly equivalent.",10,"The vocabulary barrier between these clusters is moderate, with some terms having loose or indirect relationships, but no exact equivalents or near-synonyms were found."
2,4,polyethylene terephthalate pet,compressive strength,llama_70b,Llama-3.1-70B,pyrolysis process,properties concrete,1,"Pyrolysis can be used to produce fuels or chemicals from waste materials, including those used in concrete production, but the terms are loosely related.",10,"The vocabulary barrier between these clusters is moderate, with some terms having loose or indirect relationships, but no exact equivalents or near-synonyms were found."
2,4,polyethylene terephthalate pet,compressive strength,llama_70b,Llama-3.1-70B,calorific value,strength concrete,1,"Calorific value relates to the energy content of a material, which can be relevant to the strength of concrete, but the terms are not directly related.",10,"The vocabulary barrier between these clusters is moderate, with some terms having loose or indirect relationships, but no exact equivalents or near-synonyms were found."
2,4,polyethylene terephthalate pet,compressive strength,llama_70b,Llama-3.1-70B,liquid fuel,lightweight concrete,1,"Liquid fuels can be produced from waste materials, which might be used in the production of lightweight concrete, but the terms are loosely related.",10,"The vocabulary barrier between these clusters is moderate, with some terms having loose or indirect relationships, but no exact equivalents or near-synonyms were found."
2,4,polyethylene terephthalate pet,compressive strength,llama_70b,Llama-3.1-70B,mass spectrometry,water absorption,1,"Mass spectrometry can be used to analyze the composition of materials, including those that affect water absorption in concrete, but the terms are not directly related.",10,"The vocabulary barrier between these clusters is moderate, with some terms having loose or indirect relationships, but no exact equivalents or near-synonyms were found."
2,4,polyethylene terephthalate pet,compressive strength,llama_70b,Llama-3.1-70B,catalytic pyrolysis,reinforced concrete,1,"Catalytic pyrolysis can be used to produce materials used in reinforced concrete, but the terms are loosely related.",10,"The vocabulary barrier between these clusters is moderate, with some terms having loose or indirect relationships, but no exact equivalents or near-synonyms were found."
2,4,polyethylene terephthalate pet,compressive strength,llama_70b,Llama-3.1-70B,pyrolysis oil,fine aggregate,1,"Pyrolysis oil can be produced from waste materials, which might be used as fine aggregates in concrete production, but the terms are loosely related.",10,"The vocabulary barrier between these clusters is moderate, with some terms having loose or indirect relationships, but no exact equivalents or near-synonyms were found."
2,4,polyethylene terephthalate pet,compressive strength,llama_70b,Llama-3.1-70B,polyethylene terephthalate pet,properties concrete,1,"Polyethylene terephthalate (PET) can be used as an aggregate in concrete production, but the terms are loosely related.",10,"The vocabulary barrier between these clusters is moderate, with some terms having loose or indirect relationships, but no exact equivalents or near-synonyms were found."
2,4,polyethylene terephthalate pet,compressive strength,llama_70b,Llama-3.1-70B,supporting information,mechanical properties,1,"Supporting information can include data on mechanical properties, but the terms are not directly related.",10,"The vocabulary barrier between these clusters is moderate, with some terms having loose or indirect relationships, but no exact equivalents or near-synonyms were found."
2,5,polyethylene terephthalate pet,sustainable development,gpt4o,GPT-4o,pyrolysis oil,waste management,2,"Pyrolysis oil is a product of waste management processes like pyrolysis, which is a method of managing plastic waste.",3,"The vocabulary barrier is moderate, with limited direct terminological overlap, reflecting different focuses on technical processes versus broader sustainability concepts."
2,5,polyethylene terephthalate pet,sustainable development,gpt4o,GPT-4o,catalytic pyrolysis,circular economy,2,Catalytic pyrolysis is a recycling process that contributes to the circular economy by converting waste into reusable materials.,3,"The vocabulary barrier is moderate, with limited direct terminological overlap, reflecting different focuses on technical processes versus broader sustainability concepts."
2,5,polyethylene terephthalate pet,sustainable development,gpt4o,GPT-4o,liquid fuel,greenhouse gas,1,"Liquid fuel derived from pyrolysis can impact greenhouse gas emissions, but the terms refer to different aspects of energy and environmental impact.",3,"The vocabulary barrier is moderate, with limited direct terminological overlap, reflecting different focuses on technical processes versus broader sustainability concepts."
2,5,polyethylene terephthalate pet,sustainable development,claude_haiku,Claude Haiku,pyrolysis process,waste management,3,Both represent treatment/conversion pathways for plastic waste; pyrolysis is a specific waste management technology within the broader waste management framework,7,"Moderate vocabulary barrier exists: Cluster A focuses on chemical transformation mechanisms and product characterization, while Cluster B emphasizes systemic environmental and socioeconomic outcomes; they represent different analytical scales (molecular vs. systems-level) with limited direct terminological overlap."
2,5,polyethylene terephthalate pet,sustainable development,claude_haiku,Claude Haiku,liquid fuel,circular economy,3,Liquid fuel from pyrolysis represents a value-recovery outcome central to circular economy principles; both describe resource recovery and secondary material production,7,"Moderate vocabulary barrier exists: Cluster A focuses on chemical transformation mechanisms and product characterization, while Cluster B emphasizes systemic environmental and socioeconomic outcomes; they represent different analytical scales (molecular vs. systems-level) with limited direct terminological overlap."
2,5,polyethylene terephthalate pet,sustainable development,claude_haiku,Claude Haiku,polyethylene terephthalate pet,municipal solid waste,3,PET is a major component of municipal solid waste streams; the terms describe the same material from different analytical perspectives (chemical vs. waste classification),7,"Moderate vocabulary barrier exists: Cluster A focuses on chemical transformation mechanisms and product characterization, while Cluster B emphasizes systemic environmental and socioeconomic outcomes; they represent different analytical scales (molecular vs. systems-level) with limited direct terminological overlap."
2,5,polyethylene terephthalate pet,sustainable development,claude_haiku,Claude Haiku,catalytic pyrolysis,waste management,2,Catalytic pyrolysis is an advanced waste management technology; partial overlap as it represents one specific conversion method within broader waste management strategies,7,"Moderate vocabulary barrier exists: Cluster A focuses on chemical transformation mechanisms and product characterization, while Cluster B emphasizes systemic environmental and socioeconomic outcomes; they represent different analytical scales (molecular vs. systems-level) with limited direct terminological overlap."
2,5,polyethylene terephthalate pet,sustainable development,claude_haiku,Claude Haiku,calorific value,environmental impacts,2,"Calorific value of pyrolysis products relates to energy recovery efficiency, which connects to environmental impact assessment through energy substitution benefits",7,"Moderate vocabulary barrier exists: Cluster A focuses on chemical transformation mechanisms and product characterization, while Cluster B emphasizes systemic environmental and socioeconomic outcomes; they represent different analytical scales (molecular vs. systems-level) with limited direct terminological overlap."
2,5,polyethylene terephthalate pet,sustainable development,claude_haiku,Claude Haiku,molecular weight,life cycle,2,Molecular weight characterization of degradation products informs life cycle assessment stages; partial overlap in lifecycle tracking of material transformations,7,"Moderate vocabulary barrier exists: Cluster A focuses on chemical transformation mechanisms and product characterization, while Cluster B emphasizes systemic environmental and socioeconomic outcomes; they represent different analytical scales (molecular vs. systems-level) with limited direct terminological overlap."
2,5,polyethylene terephthalate pet,sustainable development,claude_haiku,Claude Haiku,activation energy,greenhouse gas,2,"Activation energy determines pyrolysis efficiency and energy requirements, which directly influences greenhouse gas emissions from the process",7,"Moderate vocabulary barrier exists: Cluster A focuses on chemical transformation mechanisms and product characterization, while Cluster B emphasizes systemic environmental and socioeconomic outcomes; they represent different analytical scales (molecular vs. systems-level) with limited direct terminological overlap."
2,5,polyethylene terephthalate pet,sustainable development,claude_haiku,Claude Haiku,mass spectrometry,environmental impacts,1,"Mass spectrometry is an analytical tool for characterizing pyrolysis products; weak connection to environmental impacts assessment, though product characterization informs impact evaluation",7,"Moderate vocabulary barrier exists: Cluster A focuses on chemical transformation mechanisms and product characterization, while Cluster B emphasizes systemic environmental and socioeconomic outcomes; they represent different analytical scales (molecular vs. systems-level) with limited direct terminological overlap."
2,5,polyethylene terephthalate pet,sustainable development,llama_70b,Llama-3.1-70B,pyrolysis oil,liquid fuel,4,"Both terms refer to a type of fuel produced from waste materials, with pyrolysis oil being a specific type of liquid fuel.",8,"The vocabulary barrier between these clusters is moderate, with some terms having clear equivalents or near-synonyms, but others requiring more context or domain knowledge to establish connections."
2,5,polyethylene terephthalate pet,sustainable development,llama_70b,Llama-3.1-70B,catalytic pyrolysis,waste management,3,"Catalytic pyrolysis is a process for managing waste plastics, and waste management is a broader field that encompasses various techniques, including pyrolysis.",8,"The vocabulary barrier between these clusters is moderate, with some terms having clear equivalents or near-synonyms, but others requiring more context or domain knowledge to establish connections."
2,5,polyethylene terephthalate pet,sustainable development,llama_70b,Llama-3.1-70B,activation energy,environmental impacts,2,"Activation energy is a concept related to the energy required for chemical reactions, which can have environmental impacts, such as greenhouse gas emissions.",8,"The vocabulary barrier between these clusters is moderate, with some terms having clear equivalents or near-synonyms, but others requiring more context or domain knowledge to establish connections."
2,5,polyethylene terephthalate pet,sustainable development,llama_70b,Llama-3.1-70B,mass spectrometry,life cycle,2,"Mass spectrometry is an analytical technique used to study the composition of materials, which can be part of a life cycle assessment.",8,"The vocabulary barrier between these clusters is moderate, with some terms having clear equivalents or near-synonyms, but others requiring more context or domain knowledge to establish connections."
2,5,polyethylene terephthalate pet,sustainable development,llama_70b,Llama-3.1-70B,calorific value,greenhouse gas,2,"Calorific value is a measure of the energy content of a material, which can be related to greenhouse gas emissions during combustion or production.",8,"The vocabulary barrier between these clusters is moderate, with some terms having clear equivalents or near-synonyms, but others requiring more context or domain knowledge to establish connections."
2,5,polyethylene terephthalate pet,sustainable development,llama_70b,Llama-3.1-70B,pyrolysis process,circular economy,2,"Pyrolysis is a process that can be part of a circular economy approach, as it aims to recover valuable materials from waste.",8,"The vocabulary barrier between these clusters is moderate, with some terms having clear equivalents or near-synonyms, but others requiring more context or domain knowledge to establish connections."
2,5,polyethylene terephthalate pet,sustainable development,llama_70b,Llama-3.1-70B,molecular weight,food waste,1,"Molecular weight is a property of materials, and food waste can be composed of materials with varying molecular weights, but the connection is weak.",8,"The vocabulary barrier between these clusters is moderate, with some terms having clear equivalents or near-synonyms, but others requiring more context or domain knowledge to establish connections."
2,5,polyethylene terephthalate pet,sustainable development,llama_70b,Llama-3.1-70B,polyethylene terephthalate pet,municipal solid,1,"Polyethylene terephthalate (PET) is a type of plastic that can be found in municipal solid waste, but the connection is weak.",8,"The vocabulary barrier between these clusters is moderate, with some terms having clear equivalents or near-synonyms, but others requiring more context or domain knowledge to establish connections."
2,5,polyethylene terephthalate pet,sustainable development,llama_70b,Llama-3.1-70B,liquid fuel,climate change,1,"Liquid fuel can contribute to climate change through greenhouse gas emissions, but the connection is weak.",8,"The vocabulary barrier between these clusters is moderate, with some terms having clear equivalents or near-synonyms, but others requiring more context or domain knowledge to establish connections."
2,5,polyethylene terephthalate pet,sustainable development,llama_70b,Llama-3.1-70B,supporting information,developing countries,1,"Supporting information is a general term that can be related to various topics, including development in countries, but the connection is weak.",8,"The vocabulary barrier between these clusters is moderate, with some terms having clear equivalents or near-synonyms, but others requiring more context or domain knowledge to establish connections."
2,6,polyethylene terephthalate pet,supply chain,gpt4o,GPT-4o,pyrolysis oil,liquid fuel,4,"Pyrolysis oil is a type of liquid fuel derived from the pyrolysis process, making them near-synonyms in the context of energy recovery from plastics.",5,"The vocabulary barrier is moderate, with some overlap in environmental and waste management contexts, but distinct technical and process-specific terms."
2,6,polyethylene terephthalate pet,supply chain,gpt4o,GPT-4o,pyrolysis process,wastewater treatment,2,"Both terms refer to processes that manage waste, though pyrolysis is specific to thermal decomposition and wastewater treatment involves broader methods for liquid waste.",5,"The vocabulary barrier is moderate, with some overlap in environmental and waste management contexts, but distinct technical and process-specific terms."
2,6,polyethylene terephthalate pet,supply chain,gpt4o,GPT-4o,catalytic pyrolysis,environmental impacts,2,"Catalytic pyrolysis is a method that can reduce environmental impacts by converting waste plastics into useful products, linking them through their environmental relevance.",5,"The vocabulary barrier is moderate, with some overlap in environmental and waste management contexts, but distinct technical and process-specific terms."
2,6,polyethylene terephthalate pet,supply chain,gpt4o,GPT-4o,activation energy,climate change,1,"Activation energy is a concept in chemical reactions that can indirectly relate to climate change through energy consumption and emissions, but the connection is weak.",5,"The vocabulary barrier is moderate, with some overlap in environmental and waste management contexts, but distinct technical and process-specific terms."
2,6,polyethylene terephthalate pet,supply chain,gpt4o,GPT-4o,mass spectrometry,microplastic pollution,1,"Mass spectrometry can be used to analyze microplastic pollution, but the terms themselves refer to different concepts.",5,"The vocabulary barrier is moderate, with some overlap in environmental and waste management contexts, but distinct technical and process-specific terms."
2,6,polyethylene terephthalate pet,supply chain,claude_haiku,Claude Haiku,pyrolysis process,wastewater treatment,3,"Both represent chemical/physical transformation processes for managing plastic waste streams, though pyrolysis is thermal decomposition while wastewater treatment is aqueous remediation. Both are end-of-life processing technologies.",5,"Severe vocabulary barrier: Cluster A uses materials chemistry and thermochemical processing terminology, while Cluster B uses environmental systems and circular economy language. Only 5 of 20 terms have meaningful cross-cluster equivalents; the clusters represent fundamentally different analytical perspectives (reductionist material science vs. holistic environmental assessment) with minimal terminological overlap."
2,6,polyethylene terephthalate pet,supply chain,claude_haiku,Claude Haiku,liquid fuel,environmental impacts,2,"Partial overlap: liquid fuel from pyrolysis represents a valorization pathway with environmental implications (reduced landfill, but potential emissions), while environmental impacts is a broader assessment category that would include fuel production consequences.",5,"Severe vocabulary barrier: Cluster A uses materials chemistry and thermochemical processing terminology, while Cluster B uses environmental systems and circular economy language. Only 5 of 20 terms have meaningful cross-cluster equivalents; the clusters represent fundamentally different analytical perspectives (reductionist material science vs. holistic environmental assessment) with minimal terminological overlap."
2,6,polyethylene terephthalate pet,supply chain,claude_haiku,Claude Haiku,polyethylene terephthalate pet,single-use plastics,3,"Functional equivalence: PET is a primary material in single-use plastic applications (beverage bottles, food packaging). Cluster A studies material-level chemistry; Cluster B studies it as a problematic product category.",5,"Severe vocabulary barrier: Cluster A uses materials chemistry and thermochemical processing terminology, while Cluster B uses environmental systems and circular economy language. Only 5 of 20 terms have meaningful cross-cluster equivalents; the clusters represent fundamentally different analytical perspectives (reductionist material science vs. holistic environmental assessment) with minimal terminological overlap."
2,6,polyethylene terephthalate pet,supply chain,claude_haiku,Claude Haiku,catalytic pyrolysis,marine debris,2,Indirect relationship: catalytic pyrolysis is a technical solution to prevent PET from becoming marine debris. They represent problem (debris) and solution (processing) in the same waste management system.,5,"Severe vocabulary barrier: Cluster A uses materials chemistry and thermochemical processing terminology, while Cluster B uses environmental systems and circular economy language. Only 5 of 20 terms have meaningful cross-cluster equivalents; the clusters represent fundamentally different analytical perspectives (reductionist material science vs. holistic environmental assessment) with minimal terminological overlap."
2,6,polyethylene terephthalate pet,supply chain,claude_haiku,Claude Haiku,molecular weight,microplastic pollution,2,Partial overlap: molecular weight degradation is a mechanism by which plastics fragment into microplastics. Cluster A measures material properties; Cluster B studies the environmental consequence of those properties changing.,5,"Severe vocabulary barrier: Cluster A uses materials chemistry and thermochemical processing terminology, while Cluster B uses environmental systems and circular economy language. Only 5 of 20 terms have meaningful cross-cluster equivalents; the clusters represent fundamentally different analytical perspectives (reductionist material science vs. holistic environmental assessment) with minimal terminological overlap."
2,6,polyethylene terephthalate pet,supply chain,claude_haiku,Claude Haiku,calorific value,climate change,2,"Indirect connection: calorific value determines energy recovery potential from pyrolysis, which affects carbon footprint and climate impact. Energy content is a technical parameter; climate change is the environmental outcome.",5,"Severe vocabulary barrier: Cluster A uses materials chemistry and thermochemical processing terminology, while Cluster B uses environmental systems and circular economy language. Only 5 of 20 terms have meaningful cross-cluster equivalents; the clusters represent fundamentally different analytical perspectives (reductionist material science vs. holistic environmental assessment) with minimal terminological overlap."
2,6,polyethylene terephthalate pet,supply chain,claude_haiku,Claude Haiku,mass spectrometry,human health,1,"Weak analogy: mass spectrometry is an analytical technique used to characterize pyrolysis products and potential contaminants that could affect human health, but they operate at different analytical levels.",5,"Severe vocabulary barrier: Cluster A uses materials chemistry and thermochemical processing terminology, while Cluster B uses environmental systems and circular economy language. Only 5 of 20 terms have meaningful cross-cluster equivalents; the clusters represent fundamentally different analytical perspectives (reductionist material science vs. holistic environmental assessment) with minimal terminological overlap."
2,6,polyethylene terephthalate pet,supply chain,claude_haiku,Claude Haiku,activation energy,supply chain,1,"Weak analogy: activation energy is a thermodynamic parameter for chemical reactions; supply chain is a logistical system. No direct conceptual equivalence, though both relate to process feasibility.",5,"Severe vocabulary barrier: Cluster A uses materials chemistry and thermochemical processing terminology, while Cluster B uses environmental systems and circular economy language. Only 5 of 20 terms have meaningful cross-cluster equivalents; the clusters represent fundamentally different analytical perspectives (reductionist material science vs. holistic environmental assessment) with minimal terminological overlap."
