doi,title,year,cluster,topic_label
10.1021/acs.est.0c03435,"Dynamic Material Flow Analysis of PET, PE, and PP Flows in Europe: Evaluation of the Potential for Circular Economy",2020,6,"supply chain, climate change, environmental impacts, value chain"
10.1002/mar.21323,"It might be ethical, but I won't buy it: Perceived contamination of, and disgust towards, clothing made from recycled plastic bottles",2019,5,"sustainable development, environmental awareness, climate change, purchase intention"
10.1595/205651319x15574756736831,Closed-Loop Recycling of Polymers Using Solvents,2019,7,"marine debris, metric tons, human health, u s"
10.1016/j.jclepro.2023.137824,The circular economy and consumer behaviour: Literature review and research directions,2023,6,"supply chain, climate change, environmental impacts, value chain"
10.1080/14680629.2016.1207554,Storage stability and high-temperature performance of asphalt binder modified with recycled plastic,2016,4,"compressive strength, mechanical properties, flexural strength, tensile strength"
10.3390/ma13081827,Characteristics of Recycled Polypropylene Fibers as an Addition to Concrete Fabrication Based on Portland Cement,2020,4,"compressive strength, mechanical properties, flexural strength, tensile strength"
10.3390/polym13101574,Characterization of Composition and Structure–Property Relationships of Commercial Post-Consumer Polyethylene and Polypropylene Recyclates,2021,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.3390/su13169142,Efficient Plastic Recycling and Remolding Circular Economy Using the Technology of Trust–Blockchain,2021,7,"marine debris, metric tons, human health, u s"
10.1016/j.mtsust.2023.100529,"Additive manufacturing for sustainability and circular economy: needs, challenges, and opportunities for 3D printing of recycled polymeric waste",2023,7,"marine debris, metric tons, human health, u s"
10.1016/j.mset.2019.08.002,Utilization and recycling of end of life plastics for sustainable and clean industrial processes including the iron and steel industry,2019,7,"marine debris, metric tons, human health, u s"
10.1021/acs.est.8b04252,Screening and Characterization of Novel Polyesterases from Environmental Metagenomes with High Hydrolytic Activity against Synthetic Polyesters,2018,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1002/anie.201810605,Base‐Free Iron Catalyzed Transfer Hydrogenation of Esters Using EtOH as Hydrogen Source,2018,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1177/0731684407072519,Water Absorption Behavior of Composites from Sawdust and Recycled Plastics,2007,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.3390/su14020824,Recycling of Post-Consumer Packaging Materials into New Food Packaging Applications—Critical Review of the European Approach and Future Perspectives,2022,7,"marine debris, metric tons, human health, u s"
10.1016/j.resconrec.2020.105191,The future of UK plastics recycling: One Bin to Rule Them All,2020,7,"marine debris, metric tons, human health, u s"
10.1088/1742-6596/1808/1/012015,Natural Fiber Reinforced Polymer in Automotive Application: A Systematic Literature Review,2021,7,"marine debris, metric tons, human health, u s"
10.1021/jacs.1c08888,Sustainable Bioplastic Made from Biomass DNA and Ionomers,2021,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1021/acs.macromol.1c02085,A “Polymer to Polymer” Chemical Recycling of PLA Plastics by the “DE–RE Polymerization” Strategy,2022,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1021/acs.chemmater.2c02853,Polyolefins Vitrimers: Design Principles and Applications,2022,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1016/j.egyr.2021.12.072,"Waste to energy: Facile, low-cost and environment-friendly triboelectric nanogenerators using recycled plastic and electronic wastes for self-powered portable electronics",2022,7,"marine debris, metric tons, human health, u s"
10.1002/adfm.202210283,Photothermal Catalytic Polyester Upcycling over Cobalt Single‐Site Catalyst,2022,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1177/0892705719856063,"On investigation of rheological, mechanical and morphological characteristics of waste polymer-based feedstock filament for 3D printing applications",2019,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.1061/(asce)mt.1943-5533.0001765,Production of Recycled Plastic Aggregates and Its Utilization in Concrete,2016,4,"compressive strength, mechanical properties, flexural strength, tensile strength"
10.1016/j.engmic.2021.100003,Potential one-step strategy for PET degradation and PHB biosynthesis through co-cultivation of two engineered microorganisms,2021,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1038/s41598-022-09148-2,Energy recovery of waste plastics into diesel fuel with ethanol and ethoxy ethyl acetate additives on circular economy strategy,2022,6,"supply chain, climate change, environmental impacts, value chain"
,Role of Oxidative Stress in Male Reproductive Dysfunctions with Reference to Phthalate Compounds.,2015,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1002/bse.3009,Building a data‐driven circular supply chain hierarchical structure: Resource recovery implementation drives circular business strategy,2022,6,"supply chain, climate change, environmental impacts, value chain"
10.3390/recycling5040027,Pros and Cons of Plastic during the COVID-19 Pandemic,2020,5,"sustainable development, environmental awareness, climate change, purchase intention"
10.1366/10-06079a,Identification of Polymer Materials Using Laser-Induced Breakdown Spectroscopy Combined with Artificial Neural Networks,2011,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.1111/jiec.13393,Potentials and limits of mechanical plastic recycling,2023,7,"marine debris, metric tons, human health, u s"
10.1016/j.heliyon.2018.e00559,Durability of wood plastic composites manufactured from recycled plastic,2018,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.3389/fmicb.2020.00689,UV Pretreatment Impairs the Enzymatic Degradation of Polyethylene Terephthalate,2020,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1016/j.matpr.2020.05.176,Recycling of high impact polystyrene and low-density polyethylene plastic wastes in lightweight based concrete for sustainable construction,2020,4,"compressive strength, mechanical properties, flexural strength, tensile strength"
10.1128/aem.44.4.960-964.1982,Microwave sterilization of plastic tissue culture vessels for reuse,1982,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.1155/2013/496207,Processing and Validation of Whey-Protein-Coated Films and Laminates at Semi-Industrial Scale as Novel Recyclable Food Packaging Materials with Excellent Barrier Properties,2013,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.3390/ma8115406,"Mechanical, Thermomechanical and Reprocessing Behavior of Green Composites from Biodegradable Polymer and Wood Flour",2015,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.1016/j.jaap.2022.105793,Plastic pyrolysis over HZSM-5 zeolite and fluid catalytic cracking catalyst under ultra-fast heating,2022,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1021/acssuschemeng.2c00848,Bio-Based Flame-Retardant and Smoke-Suppressing Wood Plastic Composites Enabled by Phytic Acid Tyramine Salt,2022,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1038/s41467-023-39201-1,Mechanistic studies of a lipase unveil effect of pH on hydrolysis products of small PET modules,2023,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.3184/003685007x228748,Plastic Recycling,2007,7,"marine debris, metric tons, human health, u s"
10.1039/c7nr03580b,Trash to treasure: converting plastic waste into a useful graphene foil,2017,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.3390/recycling3030033,Sustainability Impact Assessment of Increased Plastic Recycling and Future Pathways of Plastic Waste Management in Sweden,2018,6,"supply chain, climate change, environmental impacts, value chain"
10.3390/recycling6020029,Incentives for Plastic Recycling: How to Engage Citizens in Active Collection. Empirical Evidence from Spain,2021,5,"sustainable development, environmental awareness, climate change, purchase intention"
10.1002/anie.202201785,Chemical Recycling of Poly(Cyclohexene Carbonate) Using a Di‐Mg<sup>II</sup> Catalyst,2022,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1021/acsami.8b11196,"Highly Efficient La<sub>2</sub>O<sub>3</sub>:Yb<sup>3+</sup>,Tm<sup>3+</sup> Single-Band NIR-to-NIR Upconverting Microcrystals for Anti-Counterfeiting Applications",2018,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.3390/en15062114,"Recycling of Plastic Waste, with Particular Emphasis on Thermal Methods—Review",2022,6,"supply chain, climate change, environmental impacts, value chain"
10.3389/fmicb.2023.1178474,Discovery of plastic-degrading microbial strains isolated from the alpine and Arctic terrestrial plastisphere,2023,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1002/cite.202100102,Chemical Recycling of Mixed Plastic Wastes by Pyrolysis – Pilot Scale Investigations,2021,7,"marine debris, metric tons, human health, u s"
10.24840/2183-0606_007.004_0002,"Carbon Emission and Plastic Pollution: How Circular Economy, Blockchain, and Artificial Intelligence Support Energy Transition?",2020,5,"sustainable development, environmental awareness, climate change, purchase intention"
10.1016/j.jtte.2022.07.002,Review of recycling waste plastics in asphalt paving materials,2022,4,"compressive strength, mechanical properties, flexural strength, tensile strength"
10.3390/ma15010175,Performance Evaluation of Plastic Concrete Modified with E-Waste Plastic as a Partial Replacement of Coarse Aggregate,2021,4,"compressive strength, mechanical properties, flexural strength, tensile strength"
10.1016/j.spc.2020.12.015,"Exploring perceptions of environmental professionals, plastic processors, students and consumers of bio-based plastics: Informing the development of the sector",2020,7,"marine debris, metric tons, human health, u s"
10.1002/pc.23063,Synthesis and analysis of injection‐molded nanocomposites of recycled high‐density polyethylene incorporated with graphene nanoflakes,2014,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.1126/sciadv.abp8823,Circularity in mixed-plastic chemical recycling enabled by variable rates of polydiketoenamine hydrolysis,2022,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.3390/su122310021,Technical Limits in Circularity for Plastic Packages,2020,7,"marine debris, metric tons, human health, u s"
10.3390/polym13162724,Risk Analysis on PMMA Recycling Economics,2021,6,"supply chain, climate change, environmental impacts, value chain"
10.1021/es503428j,"Identification of the Halogenated Compounds Resulting from the 1997 Plastimet Inc. Fire in Hamilton, Ontario, using Comprehensive Two-Dimensional Gas Chromatography and (Ultra)High Resolution Mass Spectrometry",2014,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1021/ac302109q,Atmospheric Solid Analysis Probe–Ion Mobility Mass Spectrometry of Polypropylene,2012,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.3390/recycling9040059,Recent Developments in Technology for Sorting Plastic for Recycling: The Emergence of Artificial Intelligence and the Rise of the Robots,2024,7,"marine debris, metric tons, human health, u s"
10.1021/acssuschemeng.1c02420,<i>Is</i>PETase- and <i>Is</i>MHETase-Catalyzed Cascade Degradation Mechanism toward Polyethylene Terephthalate,2021,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.3390/polym13234112,Mechanical Properties of Macro Polypropylene Fibre-Reinforced Concrete,2021,4,"compressive strength, mechanical properties, flexural strength, tensile strength"
10.1016/j.polymertesting.2021.107406,Prediction of polyethylene density from FTIR and Raman spectroscopy using multivariate data analysis,2021,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.1007/s43615-021-00056-7,A Call for a Socially Restorative Circular Economy: Waste Pickers in the Recycled Plastics Supply Chain,2021,5,"sustainable development, environmental awareness, climate change, purchase intention"
10.1179/2047058413y.0000000125,Polymers and volatiles: Using VOC analysis for the conservation of plastic and rubber objects,2014,7,"marine debris, metric tons, human health, u s"
10.1108/bij-11-2014-0103,An analysis of barriers for plastic recycling in the Indian plastic industry,2017,6,"supply chain, climate change, environmental impacts, value chain"
10.3390/en13082040,Pyro-Oil and Wax Recovery from Reclaimed Plastic Waste in a Continuous Auger Pyrolysis Reactor,2020,7,"marine debris, metric tons, human health, u s"
10.3844/ajassp.2006.1924.1928,Development of a Prototype Automated Sorting System for Plastic Recycling,2006,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.1080/02726351.2015.1043675,Tribocharging techniques for the electrostatic separation of granular plastics from waste electric and electronic equipment,2015,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.1002/masy.19910480127,Recycling of polymeric materials by pyrolysis,1991,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.1021/acsmacrolett.9b00481,Dual Organocatalysts Based on Ionic Mixtures of Acids and Bases: A Step Toward High Temperature Polymerizations,2019,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1088/1361-6528/ab475f,Sustainable recycling of waste polystyrene into hierarchical porous carbon nanosheets with potential applications in supercapacitors,2019,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1002/prot.26155,Assessment of the <scp>PETase</scp> conformational changes induced by poly(ethylene terephthalate) binding,2021,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1016/j.resconrec.2019.104619,Preparing WEEE plastics for recycling – How optimal particle sizes in pre-processing can improve the separation efficiency of high quality plastics,2019,7,"marine debris, metric tons, human health, u s"
10.1002/cssc.200700024,Supercritical Secondary Alcohols as Useful Media To Convert Polyamide into Monomeric Lactams,2007,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1177/0734242x16654978,"Separate collection of plastic waste, better than technical sorting from municipal solid waste?",2016,6,"supply chain, climate change, environmental impacts, value chain"
10.1155/2023/1821129,Review and Design Overview of Plastic Waste-to-Pyrolysis Oil Conversion with Implications on the Energy Transition,2023,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1021/jacs.3c04448,Photothermal Mediated Chemical Recycling to Monomers via Carbon Quantum Dots,2023,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1627/jpi.63.345,Latest Trends and Challenges in Feedstock Recycling of Polyolefinic Plastics,2020,7,"marine debris, metric tons, human health, u s"
10.30919/esmm5f415,Research progress on catalytic pyrolysis and reuse of waste plastics and petroleum sludge,2021,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1186/s12302-021-00536-5,MIXed plastics biodegradation and UPcycling using microbial communities: EU Horizon 2020 project MIX-UP started January 2020,2021,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1080/23322373.2021.1999750,Digital innovations for transitioning to circular plastic value chains in Africa,2021,5,"sustainable development, environmental awareness, climate change, purchase intention"
10.1515/ntrev-2021-0033,Water barrier and mechanical properties of sugar palm crystalline nanocellulose reinforced thermoplastic sugar palm starch (TPS)/poly(lactic acid) (PLA) blend bionanocomposites,2021,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1016/j.csbj.2021.12.042,Computational design of a cutinase for plastic biodegradation by mining molecular dynamics simulations trajectories,2022,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1016/j.psep.2022.11.027,Optimal sorting and recycling of plastic waste as a renewable energy resource considering economic feasibility and environmental pollution,2022,6,"supply chain, climate change, environmental impacts, value chain"
10.3390/polym16020267,Direct Pellet Three-Dimensional Printing of Polybutylene Adipate-co-Terephthalate for a Greener Future,2024,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.1021/acsomega.1c05401,Catalytic Pyrolysis of Polyethylene for the Selective Production of Monocyclic Aromatics over the Zinc-Loaded ZSM-5 Catalyst,2022,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.3390/ijerph18084203,Plastic Recycling Practices in Vietnam and Related Hazards for Health and the Environment,2021,5,"sustainable development, environmental awareness, climate change, purchase intention"
10.1016/j.wasman.2022.01.002,Limited utilization options for secondary plastics may restrict their circularity,2022,6,"supply chain, climate change, environmental impacts, value chain"
10.1002/macp.202100488,The Frontier of Plastics Recycling: Rethinking Waste as a Resource for High‐Value Applications,2022,7,"marine debris, metric tons, human health, u s"
10.1016/j.scitotenv.2023.167586,The role of chemical and solvent-based recycling within a sustainable circular economy for plastics,2023,6,"supply chain, climate change, environmental impacts, value chain"
10.1002/anie.202303791,Dual Recycling of Depolymerization Catalyst and Biodegradable Polyester that Markedly Outperforms Polyolefins,2023,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1177/0731684408097766,DSC Analysis and Mechanical Properties of Wood—Plastic Composites,2008,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.1002/ep.13086,A perspective on a locally managed decentralized circular economy for waste plastic in developing countries,2018,6,"supply chain, climate change, environmental impacts, value chain"
10.2478/cjf-2019-0005,The Problem of Plastic Waste and Microplastics in the Seas and Oceans: Impact on Marine Organisms,2019,7,"marine debris, metric tons, human health, u s"
10.1016/j.procir.2022.02.007,Drivers and Barriers to the Circular Economy Transition: the Case of Recycled Plastics in the Automotive Sector in the European Union,2022,6,"supply chain, climate change, environmental impacts, value chain"
10.3390/en16083504,Post-Consumer Plastic Waste Management: From Collection and Sortation to Mechanical Recycling,2023,7,"marine debris, metric tons, human health, u s"
10.1109/tepm.2004.832214,Eco-efficiency considerations on the end-of-life of consumer electronic products,2004,6,"supply chain, climate change, environmental impacts, value chain"
10.32604/jrm.2021.015529,Life Cycle Assessment of Recycling High-Density Polyethylene Plastic Waste,2021,7,"marine debris, metric tons, human health, u s"
10.1016/j.jwpe.2022.103452,Feasibility of rapid gravity filtration and membrane ultrafiltration for the removal of microplastics and microlitter in sewage and wastewater from plastic industry,2022,7,"marine debris, metric tons, human health, u s"
10.1061/(asce)mt.1943-5533.0002046,Short-Term Mechanical Properties of Concrete Containing Recycled Polypropylene Coarse Aggregates under Ambient and Elevated Temperature,2017,4,"compressive strength, mechanical properties, flexural strength, tensile strength"
10.2166/wst.2011.576,Floating treatment wetlands for domestic wastewater treatment,2011,7,"marine debris, metric tons, human health, u s"
10.3329/pa.v27i3.30835,Use of waste plastic aggregation in concrete as a constituent material,2016,4,"compressive strength, mechanical properties, flexural strength, tensile strength"
10.1021/acs.energyfuels.7b00865,"Advanced Chemical Characterization of Pyrolysis Oils from Landfill Waste, Recycled Plastics, and Forestry Residue",2017,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.3390/su12010277,Operationalizing Business Model Innovation through Big Data Analytics for Sustainable Organizations,2019,5,"sustainable development, environmental awareness, climate change, purchase intention"
10.1016/j.resconrec.2022.106718,Deep learning for chemometric analysis of plastic spectral data from infrared and Raman databases,2022,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1021/acs.macromol.3c00872,Circular Polyolefins: Advances toward a Sustainable Future,2023,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1016/j.chemosphere.2022.137175,"Safety of recycled plastics and textiles: Review on the detection, identification and safety assessment of contaminants",2022,7,"marine debris, metric tons, human health, u s"
